Rate,Review,Sentiment
5,super,very positive
5,awesome,very positive
3,fair,neutral
1,useless product,very negative
5,highly recommended,very positive
3,nice,neutral
1,unsatisfactory,very negative
4,worth the money,positive
5,great product,very positive
5,mindblowing purchase,very positive
5,brilliant,very positive
5,classy product,very positive
5,must buy,very positive
5,fabulous,very positive
5,worth every penny,very positive
5,just wow,very positive
5,terrific purchase,very positive
5,excellent,very positive
5,terrific,very positive
5,simply awesome,very positive
4,wonderful,positive
2,expected a better product,negative
4,good quality product,positive
3,decent product,neutral
3,very satisfactory,neutral
1,waste of money,very negative
4,good not best,positive
4,does the job,positive
4,pretty good,positive
5,good cooler,very positive
1,worthless,very negative
1,worst experience ever,very negative
5,perfect product,very positive
4,nice product,positive
1,"like an assembled, one can get for 45k cheap quality",very negative
2,not good,negative
4,very good,positive
2,slightly disappointed,negative
1,horrible,very negative
1,very poor,very negative
4,really nice,positive
5,best in the market,very positive
1,absolute rubbish,very negative
3,just okay,neutral
2,bad quality,negative
4,delightful,positive
4,valueformoney,positive
4,good choice,positive
1,hated it,very negative
3,good,neutral
1,terrible product,very negative
1,not recommended at all,very negative
1,did not meet expectations,very negative
2,badly disappointed,negative
1,utterly disappointed,very negative
2,moderate,negative
4,best product and best buy,positive
1,dont waste your money,very negative
3,product is good but huge in size,neutral
2,could be way better,negative
5,must buy cool product,very positive
4,worth the money  desert cooler live up to the name ,positive
5,its not a cooler its ac cooler,very positive
3,ok kind of coolernot effective in hot conditions,neutral
5,awesome cooler,very positive
4,cool cooler for extreme summer heat,positive
4,cools well but the user manual can be improved,positive
5,best cooler ,very positive
5,superexcelleant product,very positive
5,fantastic air cooler in affordable price,very positive
5,ultimate cooler at this price range,very positive
5,a1 worth for every penny,very positive
5,must buy,very positive
5,fab cooler,very positive
4,crompton ozone 75 desert air cooler,positive
1,product changed,very negative
1,item is good but delhivery courier service worst,very negative
1,worst delivery flipkart,very negative
3,aboveaverage product,neutral
5,good product recommended,very positive
2,damaged,negative
3,just good,neutral
4,good product in this price,positive
5,must buygo for it,very positive
2,"working fine, but product quality very cheep",negative
5,excellent product and service by flipkart,very positive
3,not that bad,neutral
3,honest review,neutral
4,supreb product from boat,positive
5,very nice product,very positive
3,not perfect,neutral
4,best in segment by price,positive
5,long lasting product,very positive
4,worth every penny superb,positive
4,for balanced sound,positive
5,good buy go for it,very positive
5,"highly recommendedworth buying,high bass,long battery life",very positive
5,must buy,very positive
4,worth buying,positive
5,"great headphone, got it for rs 1599",very positive
4,good sound bad quality,positive
5,amazing product under 2k,very positive
4,best in this range,positive
5,very good at this price and battery bakcup awsm,very positive
5,amazing product in a very reasonable price,very positive
5,great sound experience,very positive
5,loved it absolutely awesome product,very positive
5,nice product  worth for money,very positive
5,amazing product,very positive
5,this beast is the best,very positive
5,"terrific purchase, indian product, waoo thats great",very positive
4,does the work,positive
5,product worth buying,very positive
5,awesome speaker in this price range,very positive
3,average sound bar,neutral
5,best in the market,very positive
5,value for money,very positive
5,super,very positive
5,mass,very positive
5,nice entry level dslr,very positive
5,awesome dslr camera,very positive
5,ideal for beginners,very positive
1,absolute rubbish waste of money very very bad,very negative
5,good product,very positive
5,good camera for this price range,very positive
5,awesomebest for beginners,very positive
4,good camera kit,positive
4,entry level dslr,positive
1,cheating,very negative
4,good enough,positive
4,delivery was one day late,positive
5,wow,very positive
5,nice camera,very positive
5,best in the market nice product,very positive
4,hindware nevio plus 60 auto clean wall mounted chimney,positive
5,woww product,very positive
5,awesome product but no free installation,very positive
5,very much safisfactory product,very positive
5,good one,very positive
5,awesome both product  service,very positive
5,supar,very positive
4,nice one,positive
5,neptune,very positive
4,good entrylevel product,positive
5,amazing product from ifb,very positive
5,i should have bought it earlier,very positive
5,neptune fx1 dishwasher,very positive
4,nice product for family of 4,positive
5,perfect product,very positive
5,ifb machine works well with fortune detergent ,very positive
4,express delivery in 1 day,positive
5,ifb dishwasher,very positive
5,ifb sx1 nice product,very positive
5,neptune vx dishwasher,very positive
5,highly recommended,very positive
5,great experience with ifb dishwasher,very positive
5,ifb dishwasher amazing product,very positive
5,my dishwasher neptune vx,very positive
5,wonderful product and super saver,very positive
5,value to money smile,very positive
5,superb,very positive
5,"met expectations, clean dishes, low noise, economical",very positive
4,at this price point this the cheaper and durable,positive
5,excellent dishwasher,very positive
4,nice product but installation part was week,positive
2,bad quality dishwasher,negative
5,very good product,very positive
5,"wifes pride, maids envy ",very positive
5,much better than hand wash,very positive
5,excellent product for indian cooking,very positive
5,must kitchen gadget,very positive
5,we got rid of the maid right away ,very positive
1,superb performance for a week,very negative
1,worst experience ever faulty machine  zero response from f,very negative
4,beyond satisfactory,positive
4,does the job almost,positive
5,perfect product awesome dishwasher at affordable cost,very positive
4,ifb dishwasher usage  utility,positive
4,happy wife,positive
5,amazing dishwasher,very positive
5,wonderful product,very positive
5,awesome product,very positive
5,ifb dishwasher neptune vx,very positive
4,you need to shell out another rs 7000 for installation,positive
5,best buy,very positive
5,nice product and perfect product,very positive
4,appropriate size and good quality,positive
5,simply awesomevalue for money product,very positive
1,worst quality  stopped working just after 25 days,very negative
1,cooker brand,very negative
2,length of electrical wire,negative
1,sharp upper edges,very negative
5,good overall,very positive
5,smart kettle,very positive
4,hoping for the best,positive
5,awesomevery good,very positive
"Pigeon Favourite Electric Kettle15 L, Silver, Black","pigeon favourite electric kettle15 l, silver, black",unknown
1,customer support not available,very negative
5,very functional,very positive
1,only 30 mbps transfer speed,very negative
1,dont waste money,very negative
5,excellent and must buy,very positive
5,same as b4,very positive
5,greatmust buy,very positive
4,simply awesome,positive
5,go for it,very positive
5,"recommended, nice product, fast delivery worth for money",very positive
4,the portable harddisk is fine,positive
5,speed better than seagate samsung,very positive
1,shameful act of lying about product features,very negative
1,crashed automatically my life is in danger bcoz of this,very negative
5,bishnu sahibganj jh,very positive
1,cheaper only because of cost cutting,very negative
1,it cost me 15k to get my data recovered dont buy this,very negative
5,great product must buy it,very positive
5,good service,very positive
4,exhauste fan,positive
4,sahi hai,positive
5,"the best fan in the market, you can buy with confidence",very positive
1,not recommended,very negative
5,very good protect must buy,very positive
5,best in class and sturdy for room decoration,very positive
5,"mind blowing machine with all inmixing, chopping, grinding",very positive
5,wow product,very positive
4,super awesome,positive
3,"mixing, grinding, chopping fantastic shredding not so great",neutral
4,one of the best kitchen appliance,positive
4,good decent product and worth the money,positive
5,review,very positive
5,loved it,very positive
1,bad product really disappointed,very negative
1,"terrible product,dont buy",very negative
1,bad quality product,very negative
5,amazingly superb,very positive
5,inalsa,very positive
2,bad service,negative
5,keep it up,very positive
2,flop,negative
5,buget food processor with good quality,very positive
1,overpriced,very negative
2,inalsa is good,negative
1,good so far,very negative
5,gud experience with filpkart,very positive
5,food processor means inalsa,very positive
5,over all good product,very positive
2,met some expectations,negative
5,bajaj fx7 600 w food processor,very positive
5,amazing,very positive
5,superb product by bajaj  superb delivery by flipkart  ,very positive
5,thanks for delivering the product on time,very positive
5,super product delivered in less than 24 hours,very positive
5,food processor,very positive
1,bad product,very negative
5,five stars,very positive
1,poor,very negative
5,need of these days,very positive
4,an investment in health,positive
4,need to check,positive
5,good worth it,very positive
4,very useful product,positive
5,bajaj fx 11,very positive
4,bajaj fx 11 food processor,positive
5,worth it,very positive
5,superb five star product,very positive
5,thank you flipkart,very positive
4,so convenient,positive
4,good product excellent service,positive
1,stopped working in 20 days,very negative
5,bajaj applicance,very positive
3,its not bad,neutral
5,super product,very positive
3,good buy,neutral
5,powerful beast,very positive
4,satisfactory performance bit noisy though,positive
4,a good buy,positive
5,best food processor,very positive
4,nice yaar,positive
5,worried of recieving defective product but thanks to flipkart for replacing it with a brand new model of bajaj fx11 fp,very positive
4,product  delivery was awsome but for demo we have to pay,positive
1,performance of bajaj fx 7,very negative
3,very usefull product,neutral
2,avg quality,negative
5,easy to use,very positive
5,recommended product,very positive
1,damaged product,very negative
4,good product and very fast delivery of flipkart d,positive
5,excellent product as well as delivery service,very positive
3,juicer jar is of no use,neutral
2,cant grind spices,negative
5,loving it,very positive
3,okay product,neutral
1,choppers not good,very negative
1,worst product,very negative
5,i m in love with it,very positive
1,bad too noisy,very negative
5,excellent machine,very positive
4,nice product,positive
5,great product with reliability of bajaj,very positive
5,very usefull buy  will make ur wife happy,very positive
5,life saver,very positive
4,very useful,positive
5,hats off,very positive
